[ERROR] _system/glossary.md: owner が雛形の指示文のままである(『<記入>』)。値を書く。 (PLACEHOLDER_VALUE)
[ERROR] lens/ICD.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/REQ-002-lens-switching.md: 禁止同義語『領域』→ 承認語『ドメイン』を使う。 (BANNED_SYNONYM)
[ERROR] lens/REQ-002-lens-switching.md: 禁止同義語『選択』→ 承認語『起点』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-001-delegate-to-doctrine-cli.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-002-handwritten-svg.md: 禁止同義語『選択』→ 承認語『起点』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-003-first-slice-scope.md: 禁止同義語『階層』→ 承認語『波』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-006-multi-root-workspace.md: 禁止同義語『選択』→ 承認語『起点』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-010-machine-scoped-executables.md: 禁止同義語『抜け』→ 承認語『逆孤児』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-012-consequence-not-map.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-012-consequence-not-map.md: 禁止同義語『波及先』→ 承認語『帰結』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-013-design-values-live-in-design-md.md: 禁止同義語『選択』→ 承認語『起点』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-013-design-values-live-in-design-md.md: 禁止同義語『指摘』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-014-count-do-not-claim.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-014-count-do-not-claim.md: 禁止同義語『退役』→ 承認語『アーカイブ』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-015-mutation-verdict-from-exit-status.md: 禁止同義語『出力』→ 承認語『投影』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ドキュメント』→ 承認語『文書』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ハッシュ』→ 承認語『指紋』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『チェックサム』→ 承認語『指紋』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ダイジェスト』→ 承認語『指紋』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ループ』→ 承認語『循環』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『サイクル』→ 承認語『循環』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『堂々巡り』→ 承認語『循環』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『指摘』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『警告』→ 承認語『所見』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『チェック』→ 承認語『検査』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ルール』→ 承認語『検査』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『バリデーション』→ 承認語『検査』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ドキュメントツリー』→ 承認語『統治木』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『文書ツリー』→ 承認語『統治木』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『ブロック』→ 承認語『範囲』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『セクション』→ 承認語『範囲』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/ADR-018-read-the-glossary-do-not-own-it.md: 禁止同義語『区間』→ 承認語『範囲』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-001-code-round-trip.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-002-shipping-readiness.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
[ERROR] lens/decisions/CHANGE-002-shipping-readiness.md: 禁止同義語『資料』→ 承認語『文書』を使う。 (BANNED_SYNONYM)
[ERROR] lens/decisions/CHANGE-003-audit-remediation.md: CHANGE の必須節『理由（要求元）』が無い。 (MISSING_SECTION)
